datetime,activity
2022/9/19 12:20,walking
2022/9/19 12:21,sitting
2022/9/19 12:27,eating
2022/9/19 12:39,walking
2022/9/19 12:41,driving
2022/9/19 13:02,walking
2022/9/19 13:06,sitting
2022/9/19 13:41,bathroom
2022/9/19 13:47,lying
2022/9/19 15:00,using_computer
2022/9/19 16:46,lying
2022/9/19 18:20,bathroom
2022/9/19 18:23,lying
2022/9/19 18:34,walking
2022/9/19 18:39,driving
2022/9/19 19:08,walking
2022/9/19 19:11,standing
2022/9/19 19:19,walking
2022/9/19 19:32,eating
2022/9/19 19:49,walking
2022/9/19 20:06,bathroom
2022/9/19 20:14,walking
2022/9/21 12:48,walking
2022/9/21 13:08,standing
2022/9/21 13:17,walking
2022/9/21 13:24,sitting
2022/9/21 13:26,eating
2022/9/21 13:59,bathroom
2022/9/21 14:16,walking
2022/9/21 14:57,sitting
2022/9/21 15:07,walking
2022/9/21 15:12,driving
2022/9/21 15:46,walking
2022/9/21 15:51,sitting
2022/9/21 15:52,upstairs
2022/9/21 15:54,sitting
2022/9/21 16:08,using_computer
2022/9/21 18:03,eating
2022/9/21 18:40,using_computer
2022/9/21 19:27,walking
2022/9/21 19:32,driving
2022/9/21 20:10,walking
2022/9/21 20:13,bathroom
2022/9/21 20:22,sitting
2022/9/21 20:27,walking
2022/9/21 20:53,sitting
2022/9/22 12:28,sitting
2022/9/22 12:30,other
2022/9/22 12:32,bathroom
2022/9/22 12:33,walking
2022/9/22 12:40,riding
2022/9/22 12:59,walking
2022/9/22 13:08,riding
2022/9/22 13:10,walking
2022/9/22 13:14,sitting
2022/9/22 13:15,eating
2022/9/22 13:45,bathroom
2022/9/22 13:58,walking
2022/9/22 14:01,using_computer
2022/9/22 18:50,bathroom
2022/9/22 19:07,using_computer
2022/9/22 19:47,walking
2022/9/22 19:51,riding
2022/9/22 19:55,walking
2022/9/22 20:06,riding
2022/9/22 20:21,standing
2022/9/22 20:24,riding
2022/9/22 20:32,walking
2022/9/22 20:35,eating
2022/9/22 20:59,sitting
